item_barcode	patron_barcode	due_date	out_date	renewal_count	next_item_status
004	q	99	2022-01-01T11:49:46.063562	1	
950-10	123456789a	2022-12-01T11:49:46.063562	2022-01-01T11:49:46.063562	1	
951-10	123456789	2022-12-01T11:49:46.063562	2022-01-01T11:49:46.063562	1	
1-6073090204	123456789	2022-12-01T11:49:46.063562	2022-01-01T11:49:46.063562	1	
2-6073090204	123456789	2022-12-01T11:49:46.063562	2022-01-01T11:49:46.063562	1	
6086090202	123456789	2022-12-01T11:49:46.063562	2022-01-01T11:49:46.063562	1	
6042070403a	123456789	2022-12-01T11:49:46.063562	2022-01-01T11:49:46.063562	1	
31293009401336	123456789	2022-12-01T11:49:46.063562	2022-01-01T11:49:46.063562	1	
6073090103	123456789	2022-12-01T11:49:46.063562	2022-01-01T11:49:46.063562	1	
6035050203	123456789	2022-12-01T11:49:46.063562	2022-01-01T11:49:46.063562	1	
6035050205	123456789	2022-12-01T11:49:46.063562	2022-01-01T11:49:46.063562	1	
6035010204	123456789	2022-12-01T11:49:46.063562	2022-01-01T11:49:46.063562	1	
Actual thesis	123456789	2022-12-01T11:49:46.063562	2022-01-01T11:49:46.063562	1	
001	123456789	2022-12-01T11:49:46.063562	2022-01-01T11:49:46.063562	1	Missing
002	123456789	2022-12-01T11:49:46.063562	2022-01-01T11:49:46.063562	1	Missing
003	123456789	2022-12-01T11:49:46.063562	2022-01-01T11:49:46.063562	1	Missing
004		2022-12-01T11:49:46.063562	2022-01-01T11:49:46.063562	1	